DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,4560-03,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense,Road Expenses - Scales,54,42,70,,28,,14,14,33,90,35,,,15,,12
107,17,67,4560-06,Total Variable Operating Expense,Other Ops Variable Expense,Tolls Expense,Tolls Expense,Road Expenses - Tolls Prepass,"1,550","3,110","7,790","10,075","12,096","9,910","10,917","9,763","9,186","13,775","7,913","7,782","9,983","9,535","8,304",
107,17,67,4562-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Employee Expenses,,,,,,87,,,,,172,,,,,
107,17,67,4563-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Travel - Drivers,,,,,,,,,,,,,,,437,
107,17,67,4564-00,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense,Hiring Expense,"20,241","3,911","-9,096","14,517","1,478","-4,806","12,994","3,761","4,656","5,596","4,319","-15,718","-7,753","-18,510","-12,434","-5,005"
107,17,67,4564-06,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense,Hiring-Transportation Costs,,24,,57,,,,,193,,,,,109,,
107,17,67,4564-09,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense,Orientation Pay,900,727,773,"3,300","1,200","1,200","1,500","2,400",600,"2,100","1,200",300,300,600,600,
107,17,67,4568-00,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses,Operations Chargeback,288,0,"5,824","2,542","2,423","2,761","2,329","1,888","1,314",523,"1,398","1,374","1,600","1,803","2,111",
107,17,67,4572-00,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses,Unloading Expense,,,486,,,,,255,,,,260,"1,555",260,260,
107,17,67,4590-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Op Supplies & Exp,135,"1,074",84,545,-255,28,47,0,14,92,15,15,15,94,,
107,17,67,4591-00,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance,Tractor Wash Expense,60,65,125,60,162,,188,131,"1,978",51,"2,509","2,476","2,378","2,570","2,167",
107,17,67,4592-00,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance,Trailer Washes,,,,,,,,,56,,27,144,98,92,68,
107,17,67,4596-01,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense,Student Drv Loan Reimb Swift,"2,650","6,595","2,850","2,600","3,300","2,000","2,900","11,035","5,145","3,500","5,695","2,150","2,350","5,495","4,645",450
107,17,67,4596-02,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense,Student Drv Loan Reimb Outsi,,,150,150,150,150,210,270,270,270,300,270,390,350,120,30
107,17,67,4610-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Office Supplies,,,184,,23,20,113,,,,,374,,,199,
107,17,67,4611-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Postage,,,,,,26,,,,,,,,,,
